Speaker,Detail,WordsLen,UniqueWords,JLPTLevel,Sentiment-tabularisai,Sentiment-tabularisai-score,Sentiment-lxyuan,Sentiment-lxyuan-score,Sentiment-Christian,Sentiment-Christian-score
AI,こんにちは！最近、体調はどうですか？何か新しい運動を始めたり、リラックスする時間を作ったりしていますか？,52,24.0,1,Very Negative,0.4256909191608429,negative,0.4761529266834259,positive,0.9985780715942384
User,体調は結構いいです．週に４回は筋トレをしていて，その効果が現れている気がします．,40,24.0,2,Positive,0.5533864498138428,positive,0.5378198027610779,positive,0.9989853501319884
AI,それは素晴らしいですね！筋トレを定期的に行っていると体も心も元気になりますよね。何か特に集中している部位や好きなエクササイズはありますか？また、筋トレの後に特別なリカバリー方法を使っているのかな？,98,44.0,2,Very Positive,0.5835452079772949,positive,0.758476972579956,positive,0.9994922876358032
User,胸のトレーニングが特に好きです．リカバリー方法はタンパク質を摂取することですかね,40,19.0,1,Positive,0.5385173559188843,positive,0.9365187287330629,positive,0.9993358254432678
AI,胸トレが好きとはいいですね！バンクやダンベルプレスなどが入っているのかな？タンパク質をしっかり摂るのは筋肉の回復にとても大切ですね。どんなタンパク質をよく摂るようにしていますか？プロテインシェイクを使っているのか、それとも食事で積極的に取り入れていますか？,128,47.0,3,Positive,0.4508973658084869,positive,0.5706929564476013,positive,0.9991236329078674
User,プロテインをよく飲むようにしているのと，普段もタンパク質が多く含まれる食事を選択するようにしています,50,24.0,2,Neutral,0.561273992061615,positive,0.6190997362136841,positive,0.9964955449104308
AI,いい戦略ですね！プロテインは手軽で効率的にタンパク質を摂取できるから便利ですよね。どんなフレーバーのプロテインがお好みですか？また、タンパク質が多いお気に入りの食事はありますか？これらを組み合わせることで、筋トレの効果も最大化できそうですね。,121,46.0,2,Positive,0.5395787954330444,positive,0.7024672627449036,positive,0.999164581298828
User,フレーバーはヨーグルトとミルクティーが好きです,23,9.0,1,Positive,0.6039341688156128,positive,0.8309192061424255,positive,0.97763991355896
AI,ヨーグルトとミルクティーのフレーバー、美味しそうですね！さわやかなヨーグルトと甘いミルクティーのバランスが良さそう。それらを飲むのはトレーニングの前後どちらが多いですか？また、飲むタイミングによって違いを感じることはありますか？,114,38.0,2,Positive,0.5787957906723022,positive,0.8309034109115601,positive,0.8642365336418152
User,トレーニングごと朝摂取しています,16,8.0,3,Positive,0.4989855587482452,positive,0.6222816705703735,positive,0.9967509508132936
AI,トレーニング後と朝にプロテインを取るのは、筋肉の修復と成長を助けるのに効果的なタイミングですね。朝にプロテインを摂ることで、一日のエネルギーレベルも安定するかもしれません。朝のルーチンで他に何か気を付けていることはありますか？例えば、特定の朝食を食べたり、ストレッチをしたりするなど。,142,55.0,2,Neutral,0.5810141563415527,negative,0.4213394820690155,positive,0.9351103901863098
User,特に意識できてないけど，朝ごはんは欠かさず摂るようにしたいとは思っています．,38,22.0,2,Neutral,0.7629456520080566,negative,0.4769993424415588,positive,0.9206566214561462
AI,朝ごはんをしっかりとるのは、一日の始まりにエネルギーを得るためにも大切ですね。朝食で好んで食べるものはありますか？例えば、エネルギーをしっかり補給できるような食べ物や、さっぱりとしたものが好みかもしれませんね。それに合わせて、朝の時間を快適に過ごすための小さな工夫もあるといいかもしれませんね。何か試してみたい朝の習慣はありますか？,166,61.0,2,Neutral,0.4389846324920654,positive,0.6532248854637146,positive,0.718092679977417
AI Average,Mean Unique Words,17,45.0,3,Neutral,0.4241121411323547,positive,0.5115834474563599,positive,0.9940897226333618
User Average,Mean Unique Words,17,17.666666666666668,3,Neutral,0.4241121411323547,positive,0.5115834474563599,positive,0.9940897226333618
