Speaker,Detail,UniqueWords,JLPTLevel,Sentiment-tabularisai,Sentiment-tabularisai-score
AI,今日は相当活動的だったみたいね！歩数も平均よりずっと高くて、カロリーもたくさん消費しているし。でも、心拍数が少し高めに見えるね。特に運動したり、何か緊張することがあったのかな？それともただ忙しい一日だった？,50.0,3,Neutral,0.3499671518802643
User,今日は朝に筋トレをして、そのまま寝たかな。昼前に起きて、友達とキャッチボールを夕方にしたよ,24.0,2,Very Positive,0.46443143486976624
AI,朝から筋トレとは元気だね！その後にゆっくり休めて良かったね。友達とキャッチボールも楽しそう！そういう日は心拍数が高くなるのも納得だよ。運動後はしっかり水分補給して、今夜はぐっすり休んでね。明日の予定はもう決まってる？何か計画してるの？,53.0,3,Positive,0.4686436951160431
User,運動した日って心拍数は高くなるん？今夜はまたジムに行くぜ。明日は夕方まで研究して、それからハンドボールサークルでハンドボールするよ,32.0,2,Very Positive,0.39718711376190186
AI,運動すると心拍数が高くなるのは普通だよ。特に筋トレやキャッチボールみたいなアクティブな活動をすると、体はもっと多くの酸素を筋肉に送ろうとして心拍数が上がるんだ。それに、運動後もしばらくは体が回復モードに入るから、心拍数が平常時より高い状態が続くこともあるよ。今夜もジムに行くんだね！素晴らしいエネルギーだね。運動の後は、適切なストレッチと水分補給を忘れずにね。明日の研究とハンドボールも計画が詰まっているみたいだけど、無理せず頑張ってね！ハンドボールサークルではどんなポジションでプレイするの？,81.0,2,Neutral,0.7396126389503479
User,なるほどね、落ち着いた後でもその日に運動してれば心拍数って上がるんやね。ありがとー。ハンドサークルではフローターでプレイしてるよ,31.0,2,Very Negative,0.25299906730651855
AI,そうだね、運動の影響で心拍数はしばらく高めに保たれることがあるよ。体がエネルギーを使って回復作業をしているからね。フローターでプレイしてるんだね！フィールドを自由に動き回って、チームの攻守のつなぎ役をしているのかな。とても大切なポジションだね。運動の後は、しっかり休養を取って、体を回復させる時間も確保してね。今夜のジムも楽しんできてね！何か面白いことがあったらまた教えてね。,67.0,2,Positive,0.4983789622783661
User,ありがとう,1.0,2,Very Positive,0.43302130699157715
AI,いつでもどういたしまして！また何かあったらいつでも話してね。楽しい夜を過ごしてね！,20.0,3,Very Positive,0.4505781829357147
AI Average,Mean Unique Words,54.2,3,Neutral,0.42411214113235474
User Average,Mean Unique Words,22.0,3,Neutral,0.42411214113235474
