Speaker,Detail,WordsLen,UniqueWords,JLPTLevel,Sentiment-tabularisai,Sentiment-tabularisai-score,Sentiment-lxyuan,Sentiment-lxyuan-score,Sentiment-Christian,Sentiment-Christian-score
AI,今日はいいペースで歩いてるね！2360歩というのは今週の平均に比べてもかなり多いね。普段から歩くことに特に意識しているのかな？それとも今日は何か特別な予定があった？,82,40.0,3,Positive,0.3285276591777801,positive,0.4019786715507507,positive,0.9904038906097412
User,家から出ていないので，測定が間違ってるんじゃないかと思ってます．,32,19.0,2,Negative,0.3391783535480499,negative,0.5323907732963562,negative,0.969742238521576
AI,そうなんだ、それはちょっと意外だね。家の中で動くことも結構あるけど、それにしても多いかもしれないね。スマホやウェアラブルデバイスを使って測っている場合、たまに誤測定があることもあるから、それかもしれないね。最近、新しいガジェットとか試してみた？それとも何か家の中で新しい活動を始めた？,142,55.0,3,Neutral,0.4419342279434204,negative,0.5831811428070068,positive,0.9868271350860596
User,スマホではないけど，最近ニンテンドーSwitchを新しく買いました．ずっとゲームしてます．,45,21.0,0,Positive,0.4039411842823028,positive,0.4776285886764526,positive,0.9969224333763124
AI,ニンテンドーSwitchでずっとゲームをしているんだね！それだったら、歩数が多く出るのも納得かも。特にジョイコンを使った動きのあるゲームだと、けっこう体を動かすからね。何のゲームをプレイしてるの？たとえば「リングフィット アドベンチャー」みたいなアクティブなゲームだと、思った以上に運動量が上がるよ！,150,57.0,2,Positive,0.3679735064506531,positive,0.7443669438362122,positive,0.99897962808609
User,移動距離で測ってるわけじゃないんですね ポケモンSVやってるから，動きはないと思いますけどね,46,22.0,2,Neutral,0.4490875005722046,negative,0.405571848154068,neutral,0.3742851018905639
AI,なるほど、ポケモンSVをプレイしているんだね。それは基本的には座って遊ぶタイプだから、特に動いているわけではないよね。もしかしたら、スイッチを持って動いたり、何か他の動作が歩数にカウントされてしまっているのかもしれないね。ゲームは楽しんでる？ポケモンSVで特にお気に入りのポケモンとかいる？,145,52.0,2,Positive,0.3924148678779602,negative,0.3886583149433136,positive,0.9966464638710022
User,ゲームはめっちゃ面白いです． ポケモンはブリジュラスが好きですね，対戦で強いので,40,16.0,1,Positive,0.57239830493927,positive,0.5907319784164429,positive,0.9994657635688782
AI,ブリジュラス、いい選択だね！対戦での強さもさることながら、デザインもカッコいいし、使い勝手がいいポケモンだよね。対戦ではどんな戦略を使ってる？また、他に気に入っているポケモンはいる？,91,37.0,4,Positive,0.5729621648788452,positive,0.606440544128418,positive,0.9995187520980836
User,レンタルパーティだからまだ良く分かんないんですけど，カイオーガの火力が高いので気に入ってます．,47,22.0,3,Positive,0.3243221640586853,positive,0.5565118193626404,positive,0.9966756105422974
AI,カイオーガは本当に火力が高くて、水タイプの中でも特に強力なポケモンだよね。レンタルパーティを使うことでいろいろなポケモンの組み合わせを試せるのは、戦略を学ぶのにも役立つし楽しいよね。これからどんなポケモンを使ってみたいと思う？あるいは、特定の戦略に興味がある？,130,48.0,2,Positive,0.3913735449314117,positive,0.716139018535614,positive,0.9987921118736268
User,こライドンのパーティとか，テンプレを一通り触ってみたいです,29,16.0,2,Very Negative,0.2694425880908966,positive,0.4112042486667633,positive,0.9802138209342957
AI,コライドンを使ったパーティ、面白そうだね！コライドンは攻撃力が高くて、特に物理攻撃に優れているから、パーティの中核としてかなり使えるね。テンプレートのパーティを一通り試すというのは、それぞれのポケモンの役割や戦略を理解するのに最適だし、どんな戦略が自分に合っているか見つけるのにも役立つよ。対戦で気をつけるポイントや、特に勝つために重視していることはある？それとも、何か特定の相手に対策を立てたいポケモンがいる？,206,70.0,3,Positive,0.4807703495025635,positive,0.6933112144470215,positive,0.9978771209716796
AI Average,Mean Unique Words,17,51.285714285714285,3,Neutral,0.4241121411323547,positive,0.5115834474563599,positive,0.9940897226333618
User Average,Mean Unique Words,17,19.333333333333332,3,Neutral,0.4241121411323547,positive,0.5115834474563599,positive,0.9940897226333618
